timestamp,x,y,z
566221,30.415,14.07,-6.44
566241,31.710001,22.015,-4.585
566260,35.175,19.355,-2.52
566279,33.355,15.47,0.07
566298,38.71,24.5,1.295
566318,44.485,40.32,1.645
566337,37.24,50.995,1.6800001
566356,33.985,49.21,1.75
566375,33.74,45.920002,1.225
566394,29.4,50.785,-1.47
566413,21.245,63.875,-2.555
566432,7.77,59.535,0.945
566451,21.455,18.025,7.0
566471,42.14,-18.83,11.34
566490,37.975,-17.815,8.47
566509,11.06,2.59,0.14
566528,1.715,11.235,-4.235
566547,5.635,8.155,-3.255
566566,12.88,5.075,-2.135
566585,16.87,7.525,-1.75
566604,12.32,6.58,-2.065
566624,10.115,1.085,-2.31
566643,9.905,-2.415,-2.695
566662,8.12,-1.89,-3.22
566681,7.98,2.03,-3.43
566701,8.4,3.29,-3.71
566720,8.8550005,2.17,-3.185
566739,4.69,-0.805,-2.765
566758,3.43,-2.8,-2.205
566778,2.73,-2.03,-2.03
566797,5.81,-1.47,-2.45
566816,5.355,-2.415,-2.1
566835,2.975,-2.415,-1.26
566854,1.575,-1.085,-0.735
566873,1.05,0.21000001,-0.49
566892,1.4350001,-0.98,-0.49
566911,2.8,-3.255,0.035
566931,0.84000003,0.315,0.63
566950,-5.81,0.455,0.28
566969,5.635,-3.7450001,0.07
566988,4.69,-3.22,0.665
567007,-2.695,-1.4350001,0.385
567026,0.63,-2.275,0.525
567045,0.28,-3.99,0.63
567064,-0.63,-4.725,0.56
567084,-0.21000001,-3.955,0.735
567103,-0.07,-3.185,0.595
567122,0.98,-3.3600001,0.07
567141,1.645,-3.5,-0.315
567161,1.47,-2.695,-0.77
567180,1.785,-1.715,-0.63
567199,3.045,-1.645,-0.525
567218,1.855,-1.82,-0.49
567238,1.75,-2.345,-0.56
567257,3.01,-2.905,-0.315
567276,1.715,-2.835,-0.35
567295,1.19,-2.905,-0.56
567314,2.8700001,-3.255,-0.595
567333,3.78,-2.8,-0.63
567352,3.15,-1.855,-0.735
567371,2.275,-1.89,-0.42000002
567391,1.225,-2.835,-0.385
567410,2.38,-5.005,-0.945
567429,4.025,-2.24,-0.175
567448,-6.58,0.035,-0.455
567467,6.3,-4.515,-1.05
567486,5.67,-4.235,-0.105000004
567505,-2.03,-1.4,-0.21000001
567524,1.085,-2.17,-0.105000004
567544,1.12,-4.795,0.35
567563,-0.875,-4.69,0.035
567582,-0.735,-3.815,-0.07
567601,-0.525,-3.43,-0.14
567621,0.805,-3.465,-0.21000001
567640,1.645,-3.325,-0.14
567659,0.735,-3.185,-0.28
567678,0.665,-2.66,-0.525
567698,1.645,-3.045,-0.77
567717,3.01,-3.15,-0.315
567736,1.33,-3.535,-0.245
567755,1.89,-3.57,0.07
567774,3.325,-3.675,-0.07
567793,3.3600001,-3.85,-0.14
567812,3.01,-4.13,0.21000001
567831,3.15,-4.27,0.385
567851,2.73,-3.885,0.35
567870,3.3600001,-3.71,0.455
567889,3.01,-3.605,0.665
567908,2.345,-3.71,0.665
567927,3.15,-5.075,-0.105000004
567946,3.325,-1.925,0.77
567965,-7.14,-0.42000002,0.42000002
567984,5.39,-5.005,-0.28
568004,5.25,-4.55,0.735
568023,-0.735,-1.925,0.455
568042,2.17,-2.94,0.455
568061,-0.28,-4.62,0.98
568081,-1.505,-4.55,0.735
568100,0.0,-3.99,0.77
568119,0.7,-3.22,0.56
568138,1.365,-2.835,0.35
568158,1.4,-2.8,0.35
568177,1.365,-2.555,0.105000004
568196,2.1,-1.995,0.035
568215,2.135,-2.345,-0.21000001
568234,2.45,-2.625,0.07
568253,1.505,-3.185,0.21000001
568272,1.785,-2.94,0.175
568291,1.96,-2.66,0.07
568311,2.205,-2.73,0.455
568330,1.6800001,-3.3600001,0.525
568349,1.19,-3.92,0.245
568368,1.54,-4.025,0.245
568387,3.535,-3.43,0.28
568406,4.13,-2.905,0.105000004
568425,1.75,-3.15,0.035
568444,0.805,-3.185,0.175
568464,2.555,-3.29,0.07
568483,3.535,-4.795,-0.385
568502,-1.575,-1.26,0.21000001
568521,-5.95,-2.345,-0.595
568541,1.19,-6.335,-0.14
568560,1.12,-4.34,0.63
568579,-0.595,-2.03,0.035
568598,1.19,-4.165,0.035
568618,-2.065,-5.53,0.07
568637,-1.75,-4.34,-0.105000004
568656,0.21000001,-3.64,0.07
568675,0.595,-3.22,0.035
568694,0.77,-3.08,-0.07
568713,0.805,-3.395,-0.035
568732,1.61,-3.3600001,0.175
568751,2.31,-3.045,0.105000004
568771,2.205,-2.59,0.07
568790,1.225,-2.38,-0.035
568809,2.24,-3.045,0.175
568828,3.045,-3.15,0.315
568847,1.855,-3.15,0.07
568866,1.295,-3.22,0.07
568885,1.96,-3.675,0.21000001
568904,1.785,-3.7450001,-0.035
568924,1.855,-3.115,-0.035
568943,2.765,-2.8700001,0.175
568962,3.115,-3.395,0.14
568981,2.52,-3.78,0.0
569000,2.31,-3.115,0.035
569019,2.555,-2.73,0.035
