timestamp,sample
1020564,-533
1020572,-405
1020580,-310
1020588,-207
1020596,-198
1020604,-248
1020612,-274
1020620,-217
1020628,-91
1020636,28
1020644,76
1020652,45
1020660,-6
1020668,-14
1020676,25
1020684,91
1020692,147
1020700,172
1020708,160
1020716,139
1020724,113
1020732,91
1020740,55
1020748,-13
1020756,-111
1020764,-200
1020772,-250
1020780,-255
1020788,-220
1020796,-159
1020804,-112
1020812,-103
1020820,-118
1020828,-138
1020836,-133
1020844,-115
1020852,-78
1020860,-29
1020868,27
1020876,73
1020884,92
1020892,82
1020900,59
1020908,26
1020916,-2
1020924,-28
1020932,-51
1020940,-68
1020948,-72
1020956,-58
1020964,-34
1020972,2
1020980,31
1020988,34
1020996,3
1021004,-53
1021012,-98
1021020,-110
1021028,-106
1021036,-107
1021044,-112
1021052,-114
1021060,-113
1021068,-105
1021076,-87
1021084,-54
1021092,-33
1021100,-38
1021108,-67
1021116,-85
1021124,-80
1021132,-78
1021140,-81
1021148,-68
1021156,-90
1021164,-223
1021172,-325
1021180,43
1021188,942
1021196,1577
1021204,1134
1021212,-141
1021220,-1161
1021228,-1265
1021236,-808
1021244,-444
1021252,-326
1021260,-228
1021268,-103
1021276,-43
1021284,-36
1021292,-69
1021300,-84
1021308,-67
1021316,-44
1021324,-28
1021332,-18
1021340,-5
1021348,10
1021356,27
1021364,54
1021372,92
1021380,116
1021388,108
1021396,80
1021404,46
1021412,20
1021420,3
1021428,-26
1021436,-66
1021444,-114
1021452,-143
1021460,-143
1021468,-124
1021476,-104
1021484,-106
1021492,-145
1021500,-190
1021508,-185
1021516,-140
1021524,-110
1021532,-97
1021540,-90
1021548,-66
1021556,-30
1021564,-5
1021572,12
1021580,41
1021588,68
1021596,85
1021604,78
1021612,39
1021620,-12
1021628,-33
1021636,-49
1021644,-80
1021652,-107
1021660,-101
1021668,-83
1021676,-76
1021684,-86
1021692,-88
1021700,-75
1021708,-68
1021716,-70
1021724,-61
1021732,-47
1021740,-57
1021748,-85
1021756,-109
1021764,-134
1021772,-178
1021780,-226
1021788,-222
1021796,-162
1021804,-95
1021812,-72
1021820,-80
1021828,-92
1021836,-94
1021844,-104
1021852,-104
1021860,-96
1021868,-90
1021876,-124
1021884,-172
1021892,-165
1021900,-96
1021908,-77
1021916,-183
1021924,-170
1021932,400
1021940,1302
1021948,1612
1021956,834
1021964,-416
1021972,-1114
1021980,-996
1021988,-603
1021996,-408
1022004,-350
1022012,-257
1022020,-186
1022028,-168
1022036,-144
1022044,-111
1022052,-76
1022060,-58
1022068,-72
1022076,-93
1022084,-92
1022092,-70
1022100,-36
1022108,-3
1022116,47
1022124,123
1022132,184
1022140,184
1022148,132
1022156,72
1022164,37
1022172,-8
1022180,-68
1022188,-140
1022196,-187
1022204,-196
1022212,-170
1022220,-124
1022228,-86
1022236,-69
1022244,-84
1022252,-110
1022260,-124
1022268,-124
1022276,-137
1022284,-154
1022292,-152
1022300,-130
1022308,-114
1022316,-119
1022324,-125
1022332,-104
1022340,-71
1022348,-43
1022356,-35
1022364,-44
1022372,-61
1022380,-82
1022388,-101
1022396,-98
1022404,-65
1022412,-20
1022420,-11
1022428,-45
1022436,-81
1022444,-96
1022452,-96
1022460,-94
1022468,-97
1022476,-103
1022484,-93
1022492,-86
1022500,-91
1022508,-105
1022516,-107
1022524,-92
1022532,-70
1022540,-41
1022548,-24
1022556,-80
1022564,-229
1022572,-169
1022580,481
1022588,1367
1022596,1528
1022604,586
1022612,-696
1022620,-1284
1022628,-1049
1022636,-617
1022644,-422
1022652,-331
1022660,-173
1022668,-50
